Date,Daily_Consumption_kL
12/24/2019,47436.42633
12/25/2019,47436.42633
12/26/2019,47436.42633
12/27/2019,47436.42633
12/28/2019,52180.06897
12/29/2019,52180.06897
12/30/2019,47436.42633
12/31/2019,47436.42633
1/1/2020,65322.48428
1/2/2020,65322.48428
1/3/2020,65322.48428
1/4/2020,71854.7327
1/5/2020,71854.7327
1/6/2020,65322.48428
1/7/2020,65322.48428
1/8/2020,65322.48428
1/9/2020,65322.48428
1/10/2020,65322.48428
1/11/2020,71854.7327
1/12/2020,71854.7327
1/13/2020,65322.48428
1/14/2020,65322.48428
1/15/2020,65322.48428
1/16/2020,65322.48428
1/17/2020,65322.48428
1/18/2020,71854.7327
1/19/2020,71854.7327
1/20/2020,65322.48428
1/21/2020,65322.48428
1/22/2020,65322.48428
1/23/2020,65322.48428
1/24/2020,65322.48428
1/25/2020,71854.7327
1/26/2020,71854.7327
1/27/2020,65322.48428
1/28/2020,65322.48428
1/29/2020,65322.48428
1/30/2020,65322.48428
1/31/2020,65322.48428
2/1/2020,71721.47157
2/2/2020,71721.47157
2/3/2020,65201.33779
2/4/2020,65201.33779
2/5/2020,65201.33779
2/6/2020,65201.33779
2/7/2020,65201.33779
2/8/2020,71721.47157
2/9/2020,71721.47157
2/10/2020,65201.33779
2/11/2020,65201.33779
2/12/2020,65201.33779
2/13/2020,65201.33779
2/14/2020,65201.33779
2/15/2020,71721.47157
2/16/2020,71721.47157
2/17/2020,65201.33779
2/18/2020,65201.33779
2/19/2020,65201.33779
2/20/2020,65201.33779
2/21/2020,65201.33779
2/22/2020,71721.47157
2/23/2020,71721.47157
2/24/2020,65201.33779
2/25/2020,65201.33779
2/26/2020,65201.33779
2/27/2020,65201.33779
2/28/2020,65201.33779
2/29/2020,71721.47157
3/1/2020,56165.06897
3/2/2020,51059.15361
3/3/2020,51059.15361
3/4/2020,51059.15361
3/5/2020,51059.15361
3/6/2020,51059.15361
3/7/2020,56165.06897
3/8/2020,56165.06897
3/9/2020,51059.15361
3/10/2020,51059.15361
3/11/2020,51059.15361
3/12/2020,51059.15361
3/13/2020,51059.15361
3/14/2020,56165.06897
3/15/2020,56165.06897
3/16/2020,51059.15361
3/17/2020,51059.15361
3/18/2020,51059.15361
3/19/2020,51059.15361
3/20/2020,51059.15361
3/21/2020,56165.06897
3/22/2020,56165.06897
3/23/2020,51059.15361
3/24/2020,51059.15361
3/25/2020,51059.15361
3/26/2020,51059.15361
3/27/2020,51059.15361
3/28/2020,56165.06897
3/29/2020,56165.06897
3/30/2020,51059.15361
3/31/2020,51059.15361
4/1/2020,50167.24026
4/2/2020,50167.24026
4/3/2020,50167.24026
4/4/2020,55183.96429
4/5/2020,55183.96429
4/6/2020,50167.24026
4/7/2020,50167.24026
4/8/2020,50167.24026
4/9/2020,50167.24026
4/10/2020,50167.24026
4/11/2020,55183.96429
4/12/2020,55183.96429
4/13/2020,50167.24026
4/14/2020,50167.24026
4/15/2020,50167.24026
4/16/2020,50167.24026
4/17/2020,50167.24026
4/18/2020,55183.96429
4/19/2020,55183.96429
4/20/2020,50167.24026
4/21/2020,50167.24026
4/22/2020,50167.24026
4/23/2020,50167.24026
4/24/2020,50167.24026
4/25/2020,55183.96429
4/26/2020,55183.96429
4/27/2020,50167.24026
4/28/2020,50167.24026
4/29/2020,50167.24026
4/30/2020,50167.24026
5/1/2020,47459.15625
5/2/2020,52205.07188
5/3/2020,52205.07188
5/4/2020,47459.15625
5/5/2020,47459.15625
5/6/2020,47459.15625
5/7/2020,47459.15625
5/8/2020,47459.15625
5/9/2020,52205.07188
5/10/2020,52205.07188
5/11/2020,47459.15625
5/12/2020,47459.15625
5/13/2020,47459.15625
5/14/2020,47459.15625
5/15/2020,47459.15625
5/16/2020,52205.07188
5/17/2020,52205.07188
5/18/2020,47459.15625
5/19/2020,47459.15625
5/20/2020,47459.15625
5/21/2020,47459.15625
5/22/2020,47459.15625
5/23/2020,52205.07188
5/24/2020,52205.07188
5/25/2020,47459.15625
5/26/2020,47459.15625
5/27/2020,47459.15625
5/28/2020,47459.15625
5/29/2020,47459.15625
5/30/2020,52205.07188
5/31/2020,52205.07188
6/1/2020,47518.34416
6/2/2020,47518.34416
6/3/2020,47518.34416
6/4/2020,47518.34416
6/5/2020,47518.34416
6/6/2020,52270.17857
6/7/2020,52270.17857
6/8/2020,47518.34416
6/9/2020,47518.34416
6/10/2020,47518.34416
6/11/2020,47518.34416
6/12/2020,47518.34416
6/13/2020,52270.17857
6/14/2020,52270.17857
6/15/2020,47518.34416
6/16/2020,47518.34416
6/17/2020,47518.34416
6/18/2020,47518.34416
6/19/2020,47518.34416
6/20/2020,52270.17857
6/21/2020,52270.17857
6/22/2020,47518.34416
6/23/2020,47518.34416
6/24/2020,47518.34416
6/25/2020,47518.34416
6/26/2020,47518.34416
6/27/2020,52270.17857
6/28/2020,52270.17857
6/29/2020,47518.34416
6/30/2020,47518.34416
7/1/2020,40461.66667
7/2/2020,40461.66667
7/3/2020,40461.66667
7/4/2020,44507.83333
7/5/2020,44507.83333
7/6/2020,40461.66667
7/7/2020,40461.66667
7/8/2020,40461.66667
7/9/2020,40461.66667
7/10/2020,40461.66667
7/11/2020,44507.83333
7/12/2020,44507.83333
7/13/2020,40461.66667
7/14/2020,40461.66667
7/15/2020,40461.66667
7/16/2020,40461.66667
7/17/2020,40461.66667
7/18/2020,44507.83333
7/19/2020,44507.83333
7/20/2020,40461.66667
7/21/2020,40461.66667
7/22/2020,40461.66667
7/23/2020,40461.66667
7/24/2020,40461.66667
7/25/2020,44507.83333
7/26/2020,44507.83333
7/27/2020,40461.66667
7/28/2020,40461.66667
7/29/2020,40461.66667
7/30/2020,40461.66667
7/31/2020,40461.66667
8/1/2020,47130.94375
8/2/2020,47130.94375
8/3/2020,42846.3125
8/4/2020,42846.3125
8/5/2020,42846.3125
8/6/2020,42846.3125
8/7/2020,42846.3125
8/8/2020,47130.94375
8/9/2020,47130.94375
8/10/2020,42846.3125
8/11/2020,42846.3125
8/12/2020,42846.3125
8/13/2020,42846.3125
8/14/2020,42846.3125
8/15/2020,47130.94375
8/16/2020,47130.94375
8/17/2020,42846.3125
8/18/2020,42846.3125
8/19/2020,42846.3125
8/20/2020,42846.3125
8/21/2020,42846.3125
8/22/2020,47130.94375
8/23/2020,47130.94375
8/24/2020,42846.3125
8/25/2020,42846.3125
8/26/2020,42846.3125
8/27/2020,42846.3125
8/28/2020,42846.3125
8/29/2020,47130.94375
8/30/2020,47130.94375
8/31/2020,42846.3125
9/1/2020,46904.05844
9/2/2020,46904.05844
9/3/2020,46904.05844
9/4/2020,46904.05844
9/5/2020,51594.46429
9/6/2020,51594.46429
9/7/2020,46904.05844
9/8/2020,46904.05844
9/9/2020,46904.05844
9/10/2020,46904.05844
9/11/2020,46904.05844
9/12/2020,51594.46429
9/13/2020,51594.46429
9/14/2020,46904.05844
9/15/2020,46904.05844
9/16/2020,46904.05844
9/17/2020,46904.05844
9/18/2020,46904.05844
9/19/2020,51594.46429
9/20/2020,51594.46429
9/21/2020,46904.05844
9/22/2020,46904.05844
9/23/2020,46904.05844
9/24/2020,46904.05844
9/25/2020,46904.05844
9/26/2020,51594.46429
9/27/2020,51594.46429
9/28/2020,46904.05844
9/29/2020,46904.05844
9/30/2020,46904.05844
10/1/2020,40047.68025
10/2/2020,40047.68025
10/3/2020,44052.44828
10/4/2020,44052.44828
10/5/2020,40047.68025
10/6/2020,40047.68025
10/7/2020,40047.68025
10/8/2020,40047.68025
10/9/2020,40047.68025
10/10/2020,44052.44828
10/11/2020,44052.44828
10/12/2020,40047.68025
10/13/2020,40047.68025
10/14/2020,40047.68025
10/15/2020,40047.68025
10/16/2020,40047.68025
10/17/2020,44052.44828
10/18/2020,44052.44828
10/19/2020,40047.68025
10/20/2020,40047.68025
10/21/2020,40047.68025
10/22/2020,40047.68025
10/23/2020,40047.68025
10/24/2020,44052.44828
10/25/2020,44052.44828
10/26/2020,40047.68025
10/27/2020,40047.68025
10/28/2020,40047.68025
10/29/2020,40047.68025
10/30/2020,40047.68025
10/31/2020,44052.44828
11/1/2020,56258.87702
11/2/2020,51144.43366
11/3/2020,51144.43366
11/4/2020,51144.43366
11/5/2020,51144.43366
11/6/2020,51144.43366
11/7/2020,56258.87702
11/8/2020,56258.87702
11/9/2020,51144.43366
11/10/2020,51144.43366
11/11/2020,51144.43366
11/12/2020,51144.43366
11/13/2020,51144.43366
11/14/2020,56258.87702
11/15/2020,56258.87702
11/16/2020,51144.43366
11/17/2020,51144.43366
11/18/2020,51144.43366
11/19/2020,51144.43366
11/20/2020,51144.43366
11/21/2020,56258.87702
11/22/2020,56258.87702
11/23/2020,51144.43366
11/24/2020,51144.43366
11/25/2020,51144.43366
11/26/2020,51144.43366
11/27/2020,51144.43366
11/28/2020,56258.87702
11/29/2020,56258.87702
11/30/2020,51144.43366
12/1/2020,45525.25157
12/2/2020,45525.25157
12/3/2020,45525.25157
12/4/2020,45525.25157
12/5/2020,50077.77673
12/6/2020,50077.77673
12/7/2020,45525.25157
12/8/2020,45525.25157
12/9/2020,45525.25157
12/10/2020,45525.25157
12/11/2020,45525.25157
12/12/2020,50077.77673
12/13/2020,50077.77673
12/14/2020,45525.25157
12/15/2020,45525.25157
12/16/2020,45525.25157
12/17/2020,45525.25157
12/18/2020,45525.25157
12/19/2020,50077.77673
12/20/2020,50077.77673
12/21/2020,45525.25157
12/22/2020,45525.25157
12/23/2020,45525.25157
12/24/2020,45525.25157
12/25/2020,45525.25157
12/26/2020,50077.77673
12/27/2020,50077.77673
12/28/2020,45525.25157
12/29/2020,45525.25157
12/30/2020,45525.25157
12/31/2020,45525.25157
1/1/2021,59901.84375
1/2/2021,65892.02813
1/3/2021,65892.02813
1/4/2021,59901.84375
1/5/2021,59901.84375
1/6/2021,59901.84375
1/7/2021,59901.84375
1/8/2021,59901.84375
1/9/2021,65892.02813
1/10/2021,65892.02813
1/11/2021,59901.84375
1/12/2021,59901.84375
1/13/2021,59901.84375
1/14/2021,59901.84375
1/15/2021,59901.84375
1/16/2021,65892.02813
1/17/2021,65892.02813
1/18/2021,59901.84375
1/19/2021,59901.84375
1/20/2021,59901.84375
1/21/2021,59901.84375
1/22/2021,59901.84375
1/23/2021,65892.02813
1/24/2021,65892.02813
1/25/2021,59901.84375
1/26/2021,59901.84375
1/27/2021,59901.84375
1/28/2021,59901.84375
1/29/2021,59901.84375
1/30/2021,65892.02813
1/31/2021,65892.02813
2/1/2021,50756.80556
2/2/2021,50756.80556
2/3/2021,50756.80556
2/4/2021,50756.80556
2/5/2021,50756.80556
2/6/2021,55832.48611
2/7/2021,55832.48611
2/8/2021,50756.80556
2/9/2021,50756.80556
2/10/2021,50756.80556
2/11/2021,50756.80556
2/12/2021,50756.80556
2/13/2021,55832.48611
2/14/2021,55832.48611
2/15/2021,50756.80556
2/16/2021,50756.80556
2/17/2021,50756.80556
2/18/2021,50756.80556
2/19/2021,50756.80556
2/20/2021,55832.48611
2/21/2021,55832.48611
2/22/2021,50756.80556
2/23/2021,50756.80556
2/24/2021,50756.80556
2/25/2021,50756.80556
2/26/2021,50756.80556
2/27/2021,55832.48611
2/28/2021,55832.48611
3/1/2021,44465.97484
3/2/2021,44465.97484
3/3/2021,44465.97484
3/4/2021,44465.97484
3/5/2021,44465.97484
3/6/2021,48912.57233
3/7/2021,48912.57233
3/8/2021,44465.97484
3/9/2021,44465.97484
3/10/2021,44465.97484
3/11/2021,44465.97484
3/12/2021,44465.97484
3/13/2021,48912.57233
3/14/2021,48912.57233
3/15/2021,44465.97484
3/16/2021,44465.97484
3/17/2021,44465.97484
3/18/2021,44465.97484
3/19/2021,44465.97484
3/20/2021,48912.57233
3/21/2021,48912.57233
3/22/2021,44465.97484
3/23/2021,44465.97484
3/24/2021,44465.97484
3/25/2021,44465.97484
3/26/2021,44465.97484
3/27/2021,48912.57233
3/28/2021,48912.57233
3/29/2021,44465.97484
3/30/2021,44465.97484
3/31/2021,44465.97484
4/1/2021,49339.35065
4/2/2021,49339.35065
4/3/2021,54273.28571
4/4/2021,54273.28571
4/5/2021,49339.35065
4/6/2021,49339.35065
4/7/2021,49339.35065
4/8/2021,49339.35065
4/9/2021,49339.35065
4/10/2021,54273.28571
4/11/2021,54273.28571
4/12/2021,49339.35065
4/13/2021,49339.35065
4/14/2021,49339.35065
4/15/2021,49339.35065
4/16/2021,49339.35065
4/17/2021,54273.28571
4/18/2021,54273.28571
4/19/2021,49339.35065
4/20/2021,49339.35065
4/21/2021,49339.35065
4/22/2021,49339.35065
4/23/2021,49339.35065
4/24/2021,54273.28571
4/25/2021,54273.28571
4/26/2021,49339.35065
4/27/2021,49339.35065
4/28/2021,49339.35065
4/29/2021,49339.35065
4/30/2021,49339.35065
5/1/2021,49158.10625
5/2/2021,49158.10625
5/3/2021,44689.1875
5/4/2021,44689.1875
5/5/2021,44689.1875
5/6/2021,44689.1875
5/7/2021,44689.1875
5/8/2021,49158.10625
5/9/2021,49158.10625
5/10/2021,44689.1875
5/11/2021,44689.1875
5/12/2021,44689.1875
5/13/2021,44689.1875
5/14/2021,44689.1875
5/15/2021,49158.10625
5/16/2021,49158.10625
5/17/2021,44689.1875
5/18/2021,44689.1875
5/19/2021,44689.1875
5/20/2021,44689.1875
5/21/2021,44689.1875
5/22/2021,49158.10625
5/23/2021,49158.10625
5/24/2021,44689.1875
5/25/2021,44689.1875
5/26/2021,44689.1875
5/27/2021,44689.1875
5/28/2021,44689.1875
5/29/2021,49158.10625
5/30/2021,49158.10625
5/31/2021,44689.1875
6/1/2021,43642.30519
6/2/2021,43642.30519
6/3/2021,43642.30519
6/4/2021,43642.30519
6/5/2021,48006.53571
6/6/2021,48006.53571
6/7/2021,43642.30519
6/8/2021,43642.30519
6/9/2021,43642.30519
6/10/2021,43642.30519
6/11/2021,43642.30519
6/12/2021,48006.53571
6/13/2021,48006.53571
6/14/2021,43642.30519
6/15/2021,43642.30519
6/16/2021,43642.30519
6/17/2021,43642.30519
6/18/2021,43642.30519
6/19/2021,48006.53571
6/20/2021,48006.53571
6/21/2021,43642.30519
6/22/2021,43642.30519
6/23/2021,43642.30519
6/24/2021,43642.30519
6/25/2021,43642.30519
6/26/2021,48006.53571
6/27/2021,48006.53571
6/28/2021,43642.30519
6/29/2021,43642.30519
6/30/2021,43642.30519
7/1/2021,42732.06897
7/2/2021,42732.06897
7/3/2021,47005.27586
7/4/2021,47005.27586
7/5/2021,42732.06897
7/6/2021,42732.06897
7/7/2021,42732.06897
7/8/2021,42732.06897
7/9/2021,42732.06897
7/10/2021,47005.27586
7/11/2021,47005.27586
7/12/2021,42732.06897
7/13/2021,42732.06897
7/14/2021,42732.06897
7/15/2021,42732.06897
7/16/2021,42732.06897
7/17/2021,47005.27586
7/18/2021,47005.27586
7/19/2021,42732.06897
7/20/2021,42732.06897
7/21/2021,42732.06897
7/22/2021,42732.06897
7/23/2021,42732.06897
7/24/2021,47005.27586
7/25/2021,47005.27586
7/26/2021,42732.06897
7/27/2021,42732.06897
7/28/2021,42732.06897
7/29/2021,42732.06897
7/30/2021,42732.06897
7/31/2021,47005.27586
8/1/2021,43650.13793
8/2/2021,39681.94357
8/3/2021,39681.94357
8/4/2021,39681.94357
8/5/2021,39681.94357
8/6/2021,39681.94357
8/7/2021,43650.13793
8/8/2021,43650.13793
8/9/2021,39681.94357
8/10/2021,39681.94357
8/11/2021,39681.94357
8/12/2021,39681.94357
8/13/2021,39681.94357
8/14/2021,43650.13793
8/15/2021,43650.13793
8/16/2021,39681.94357
8/17/2021,39681.94357
8/18/2021,39681.94357
8/19/2021,39681.94357
8/20/2021,39681.94357
8/21/2021,43650.13793
8/22/2021,43650.13793
8/23/2021,39681.94357
8/24/2021,39681.94357
8/25/2021,39681.94357
8/26/2021,39681.94357
8/27/2021,39681.94357
8/28/2021,43650.13793
8/29/2021,43650.13793
8/30/2021,39681.94357
8/31/2021,39681.94357
9/1/2021,44839.22078
9/2/2021,44839.22078
9/3/2021,44839.22078
9/4/2021,49323.14286
9/5/2021,49323.14286
9/6/2021,44839.22078
9/7/2021,44839.22078
9/8/2021,44839.22078
9/9/2021,44839.22078
9/10/2021,44839.22078
9/11/2021,49323.14286
9/12/2021,49323.14286
9/13/2021,44839.22078
9/14/2021,44839.22078
9/15/2021,44839.22078
9/16/2021,44839.22078
9/17/2021,44839.22078
9/18/2021,49323.14286
9/19/2021,49323.14286
9/20/2021,44839.22078
9/21/2021,44839.22078
9/22/2021,44839.22078
9/23/2021,44839.22078
9/24/2021,44839.22078
9/25/2021,49323.14286
9/26/2021,49323.14286
9/27/2021,44839.22078
9/28/2021,44839.22078
9/29/2021,44839.22078
9/30/2021,44839.22078
10/1/2021,44807.59375
10/2/2021,49288.35313
10/3/2021,49288.35313
10/4/2021,44807.59375
10/5/2021,44807.59375
10/6/2021,44807.59375
10/7/2021,44807.59375
10/8/2021,44807.59375
10/9/2021,49288.35313
10/10/2021,49288.35313
10/11/2021,44807.59375
10/12/2021,44807.59375
10/13/2021,44807.59375
10/14/2021,44807.59375
10/15/2021,44807.59375
10/16/2021,49288.35313
10/17/2021,49288.35313
10/18/2021,44807.59375
10/19/2021,44807.59375
10/20/2021,44807.59375
10/21/2021,44807.59375
10/22/2021,44807.59375
10/23/2021,49288.35313
10/24/2021,49288.35313
10/25/2021,44807.59375
10/26/2021,44807.59375
10/27/2021,44807.59375
10/28/2021,44807.59375
10/29/2021,44807.59375
10/30/2021,49288.35313
10/31/2021,49288.35313
11/1/2021,48687.01299
11/2/2021,48687.01299
11/3/2021,48687.01299
11/4/2021,48687.01299
11/5/2021,48687.01299
11/6/2021,53555.71429
11/7/2021,53555.71429
11/8/2021,48687.01299
11/9/2021,48687.01299
11/10/2021,48687.01299
11/11/2021,48687.01299
11/12/2021,48687.01299
11/13/2021,53555.71429
11/14/2021,53555.71429
11/15/2021,48687.01299
11/16/2021,48687.01299
11/17/2021,48687.01299
11/18/2021,48687.01299
11/19/2021,48687.01299
11/20/2021,53555.71429
11/21/2021,53555.71429
11/22/2021,48687.01299
11/23/2021,48687.01299
11/24/2021,48687.01299
11/25/2021,48687.01299
11/26/2021,48687.01299
11/27/2021,53555.71429
11/28/2021,53555.71429
11/29/2021,48687.01299
11/30/2021,48687.01299
12/1/2021,40750.06289
12/2/2021,40750.06289
12/3/2021,40750.06289
12/4/2021,44825.06918
12/5/2021,44825.06918
12/6/2021,40750.06289
12/7/2021,40750.06289
12/8/2021,40750.06289
12/9/2021,40750.06289
